reportingEventId,analysisId,analysis,analysisSetId,groupingId,groupId,operationId,sourceRecordCount,analyzedRecordCount,excludedMissingAVALOrCNSR,excludedNotMatchingDeclaredConditions,rawValue,formattedValue
RE.TROPIC,AN.OS,Overall Survival,AS.ITT,GF.TRT,G.MP,OP.N,371,371,0,0,371,371
RE.TROPIC,AN.OS,Overall Survival,AS.ITT,GF.TRT,G.MP,OP.EVNT,371,371,0,0,266,266
RE.TROPIC,AN.OS,Overall Survival,AS.ITT,GF.TRT,G.MP,OP.MEDD,371,371,0,0,386.0,386.0
RE.TROPIC,AN.OS,Overall Survival,AS.ITT,GF.TRT,G.MP,OP.MEDM,371,371,0,0,12.68,12.68
RE.TROPIC,AN.PFS,Progression-Free Survival,AS.ITT,GF.TRT,G.MP,OP.N,371,371,0,0,371,371
RE.TROPIC,AN.PFS,Progression-Free Survival,AS.ITT,GF.TRT,G.MP,OP.EVNT,371,371,0,0,326,326
RE.TROPIC,AN.PFS,Progression-Free Survival,AS.ITT,GF.TRT,G.MP,OP.MEDD,371,371,0,0,50.0,50.0
RE.TROPIC,AN.PFS,Progression-Free Survival,AS.ITT,GF.TRT,G.MP,OP.MEDM,371,371,0,0,1.64,1.64
RE.TROPIC,AN.TTPAIN,Time to Pain Progression,AS.ITT,GF.TRT,G.MP,OP.N,371,371,0,0,371,371
RE.TROPIC,AN.TTPAIN,Time to Pain Progression,AS.ITT,GF.TRT,G.MP,OP.EVNT,371,371,0,0,37,37
RE.TROPIC,AN.TTPAIN,Time to Pain Progression,AS.ITT,GF.TRT,G.MP,OP.MEDD,371,371,0,0,,Not reached
RE.TROPIC,AN.TTPAIN,Time to Pain Progression,AS.ITT,GF.TRT,G.MP,OP.MEDM,371,371,0,0,,Not reached
RE.TROPIC,AN.TTPSA,Time to PSA Progression,AS.ITT,GF.TRT,G.MP,OP.N,371,371,0,0,371,371
RE.TROPIC,AN.TTPSA,Time to PSA Progression,AS.ITT,GF.TRT,G.MP,OP.EVNT,371,371,0,0,265,265
RE.TROPIC,AN.TTPSA,Time to PSA Progression,AS.ITT,GF.TRT,G.MP,OP.MEDD,371,371,0,0,68.0,68.0
RE.TROPIC,AN.TTPSA,Time to PSA Progression,AS.ITT,GF.TRT,G.MP,OP.MEDM,371,371,0,0,2.23,2.23
RE.TROPIC,AN.TTUMOR,Time to Tumor Progression,AS.ITT,GF.TRT,G.MP,OP.N,371,371,0,0,371,371
RE.TROPIC,AN.TTUMOR,Time to Tumor Progression,AS.ITT,GF.TRT,G.MP,OP.EVNT,371,371,0,0,96,96
RE.TROPIC,AN.TTUMOR,Time to Tumor Progression,AS.ITT,GF.TRT,G.MP,OP.MEDD,371,371,0,0,153.0,153.0
RE.TROPIC,AN.TTUMOR,Time to Tumor Progression,AS.ITT,GF.TRT,G.MP,OP.MEDM,371,371,0,0,5.03,5.03
