dataset,variable,origin,predecessor,method_oid,method_description,sas_producer,r_validation_producer,actual_xpt_variable_present,define_item_present,forward_tfl_consumers,traceability_status
ADSL,STUDYID,Protocol,Protocol identifier from config/study_config.yaml and SDTM study domain records.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,USUBJID,Collected,SDTM.DM.USUBJID.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,SUBJID,Collected,SDTM.DM.SUBJID.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,SITEID,Collected,SDTM.DM.SITEID.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,AGE,Collected,SDTM.DM.AGE.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,AGEGR1,Collected,Derived age group from SDTM.DM.AGE and protocol age group definitions.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,AGEGR1N,Collected,Numeric age group from AGEGR1.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,RACE,Collected,SDTM.DM.RACE.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,ETHNIC,Collected,SDTM.DM.ETHNIC.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,SEX,Collected,SDTM.DM.SEX.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,TRT01P,Assigned,Randomized/planned treatment assignment from SDTM.DM.ARM and config/study_config.yaml treatment map.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,TRT01PN,Assigned,Numeric planned treatment assignment from config/study_config.yaml treatment map.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,TRT01A,Assigned,Actual treatment assignment from first non-missing SDTM.EX exposure record and config/study_config.yaml treatment map.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,TRT01AN,Assigned,Numeric actual treatment assignment from first non-missing SDTM.EX exposure record and config/study_config.yaml treatment map.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,RANDDT,Collected,Randomization date from SDTM.DM.RFSTDTC or randomization source record.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,TRTSDT,Derived,First exposure start date from SDTM.EX.EXSTDTC.,MT.TRTSDT,"Date of first exposure to treatment, derived as the minimum of EXSTDTC from the EX SDTM dataset.",04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,TRTEDT,Derived,Last exposure end date from SDTM.EX.EXENDTC.,MT.TRTEDT,"Date of last exposure to treatment, derived as the maximum of EXENDTC from the EX SDTM dataset.",04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,TRTDURD,Derived,Derived from ADSL.TRTSDT and ADSL.TRTEDT.,MT.TRTDURD,"Treatment duration in days, calculated as: TRTEDT - TRTSDT + 1.",04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,ITTFL,Derived,Population flag from randomized subject records and protocol population rules.,MT.ITTFL,"Intent-to-treat population flag, set to Y for all randomized subjects.",04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,SAFFL,Derived,Population flag from treated subject records using SDTM.EX exposure evidence.,MT.SAFFL,"Safety population flag, set to Y for all subjects who received at least one dose of study treatment.",04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,PPROTFL,Collected,Protocol/per-protocol eligibility source records and protocol deviation review.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,DTHFL,Collected,Death flag from SDTM.DM.DTHFL and disposition/death records.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,DTHDT,Derived,Death date from SDTM.DM.DTHDTC or disposition/death records.,MT.DTHDT,Death date derived from SDTM.DM.DTHDTC or disposition/death records.,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,DTHCAUS,Collected,Death cause from disposition/death source records.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,LSTALVDT,Derived,Last known alive date from maximum non-death contact/assessment date across SDTM source domains.,MT.LSTALVDT,Last known alive date derived as the maximum non-death contact or assessment date across source domains.,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,ECOGBL,Derived,Baseline ECOG from SDTM.QS/VS assessment source before treatment start.,MT.ECOGBL,"Baseline ECOG performance status, derived as the first non-missing value from VS where VSTESTCD = 'ECOG' and VSBLFL = 'Y'.",04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,MEASDISF,Derived,Measurable disease flag from baseline tumor/response source assessments.,MT.MEASDISF,"Baseline measurable disease flag, set to Y if target lesions are present at baseline in the LS SDTM dataset.",04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,VISCFL,Collected,Visceral disease flag from baseline lesion source assessments.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
