source,target,relationship,status,evidence
01_source_data/real_sdtm/*.sas7bdat,04_analysis_datasets/programs/sas/L_staging_ingest.sas,read by SAS staging,CONFIRMED,04_analysis_datasets/programs/sas/L_staging_ingest.sas
01_source_data/real_sdtm/*.sas7bdat,04_analysis_datasets/programs/r/v_staging_ingest.R,read by R staging,CONFIRMED,04_analysis_datasets/programs/r/v_staging_ingest.R
04_analysis_datasets/programs/sas/L_staging_ingest.sas,04_analysis_datasets/programs/sas/A_adsl_generation.sas,staging inputs,CONFIRMED,04_analysis_datasets/programs/sas/00_master_driver.sas
04_analysis_datasets/programs/sas/L_staging_ingest.sas,04_analysis_datasets/programs/sas/A_adex_generation.sas,staging inputs,CONFIRMED,04_analysis_datasets/programs/sas/00_master_driver.sas
04_analysis_datasets/programs/sas/L_staging_ingest.sas,04_analysis_datasets/programs/sas/A_adcm_generation.sas,staging inputs,CONFIRMED,04_analysis_datasets/programs/sas/00_master_driver.sas
04_analysis_datasets/programs/sas/L_staging_ingest.sas,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,staging inputs,CONFIRMED,04_analysis_datasets/programs/sas/00_master_driver.sas
04_analysis_datasets/programs/sas/L_staging_ingest.sas,04_analysis_datasets/programs/sas/A_adlb_generation.sas,staging inputs,CONFIRMED,04_analysis_datasets/programs/sas/00_master_driver.sas
04_analysis_datasets/programs/sas/L_staging_ingest.sas,04_analysis_datasets/programs/sas/A_adrs_generation.sas,staging inputs,CONFIRMED,04_analysis_datasets/programs/sas/00_master_driver.sas
04_analysis_datasets/programs/sas/L_staging_ingest.sas,04_analysis_datasets/programs/sas/A_adtte_generation.sas,staging inputs,CONFIRMED,04_analysis_datasets/programs/sas/00_master_driver.sas
04_analysis_datasets/programs/r/v_staging_ingest.R,04_analysis_datasets/programs/r/v_adsl_validation.R,R validation staging,CONFIRMED,04_analysis_datasets/programs/r/v_adsl_validation.R
04_analysis_datasets/programs/r/v_staging_ingest.R,04_analysis_datasets/programs/r/v_adex_validation.R,R validation staging,CONFIRMED,04_analysis_datasets/programs/r/v_adex_validation.R
04_analysis_datasets/programs/r/v_staging_ingest.R,04_analysis_datasets/programs/r/v_adcm_validation.R,R validation staging,CONFIRMED,04_analysis_datasets/programs/r/v_adcm_validation.R
04_analysis_datasets/programs/r/v_staging_ingest.R,04_analysis_datasets/programs/r/v_adae_io_validation.R,R validation staging,CONFIRMED,04_analysis_datasets/programs/r/v_adae_io_validation.R
04_analysis_datasets/programs/r/v_staging_ingest.R,04_analysis_datasets/programs/r/v_adlb_validation.R,R validation staging,CONFIRMED,04_analysis_datasets/programs/r/v_adlb_validation.R
04_analysis_datasets/programs/r/v_staging_ingest.R,04_analysis_datasets/programs/r/v_adrs_validation.R,R validation staging,CONFIRMED,04_analysis_datasets/programs/r/v_adrs_validation.R
04_analysis_datasets/programs/r/v_staging_ingest.R,04_analysis_datasets/programs/r/v_adtte_validation.R,R validation staging,CONFIRMED,04_analysis_datasets/programs/r/v_adtte_validation.R
04_analysis_datasets/programs/sas/A_*_generation.sas,04_analysis_datasets/adam/*_prod.xpt,SAS production output,CONFIRMED,04_analysis_datasets/programs/sas/U_xpt_export.sas
04_analysis_datasets/programs/r/v_*_validation.R,04_analysis_datasets/adam/*_v.xpt,R validation output,CONFIRMED,config/study_manifest.yaml
04_analysis_datasets/adam/*_prod.xpt,06_qc_evidence/reconciliation/cross_lang_audit.R,SAS side of dual-language comparison,CONFIRMED,06_qc_evidence/reconciliation/cross_lang_audit.R
04_analysis_datasets/adam/*_v.xpt,06_qc_evidence/reconciliation/cross_lang_audit.R,R side of dual-language comparison,CONFIRMED,06_qc_evidence/reconciliation/cross_lang_audit.R
06_qc_evidence/reconciliation/cross_lang_audit.R,platform/reconciliation_status.json,reconciliation verdict,CONFIRMED,06_qc_evidence/reconciliation/cross_lang_audit.R
03_metadata/adam/ADaM_spec.xlsx,03_metadata/define/define.xml,spec-to-Define check,CONFIRMED,03_metadata/define/check_define_conformance.R
03_metadata/adam/ADaM_spec.xlsx,04_analysis_datasets/adam/*_prod.xpt,spec-to-data check,CONFIRMED,04_analysis_datasets/programs/r/spec_data_checks.R
