standard,dataset,define_present,data_present,define_variables,data_variables,missing_from_data,not_in_define,order_match,unlabelled_data_variables,derived_variables_without_method
ADaM,ADAE,YES,YES,29,29,,,YES,,
ADaM,ADCM,YES,YES,15,15,,,YES,,
ADaM,ADEX,YES,YES,14,14,,,YES,,
ADaM,ADLB,YES,YES,27,27,,,YES,,
ADaM,ADRS,YES,YES,13,13,,,YES,,
ADaM,ADSL,YES,YES,42,42,,,YES,,
ADaM,ADTTE,YES,YES,19,19,,,YES,,
SDTM,AE,YES,YES,26,26,,,YES,,
SDTM,CM,YES,YES,28,28,,,YES,,
SDTM,DM,YES,YES,14,14,,,YES,,
SDTM,DS,YES,YES,11,11,,,YES,,
SDTM,EX,YES,YES,17,17,,,YES,,
SDTM,LB,YES,YES,28,28,,,YES,,
SDTM,LS,YES,YES,22,22,,,YES,,
SDTM,PN,YES,YES,18,18,,,YES,,
SDTM,SUPPAE,YES,YES,10,10,,,YES,,
SDTM,SUPPCM,YES,YES,11,11,,,YES,,
SDTM,SUPPDM,YES,YES,10,10,,,YES,,
SDTM,SUPPDS,YES,YES,10,10,,,YES,,
SDTM,SUPPEX,YES,YES,11,11,,,YES,,
SDTM,SUPPLB,YES,YES,11,11,,,YES,,
SDTM,SUPPLS,YES,YES,11,11,,,YES,,
SDTM,TA,YES,YES,9,9,,,YES,,
SDTM,TS,YES,YES,6,6,,,YES,,
SDTM,VS,YES,YES,19,19,,,YES,,
