domain,variable,type,missing_n,missing_pct,nonmissing_n,distinct_n,expected_critical
ae,AEACN,object,1136,20.93,4292,7,False
ae,AEBODSYS,object,0,0.0,5428,23,True
ae,AECONTRT,object,1136,20.93,4292,3,False
ae,AEDECOD,object,0,0.0,5428,436,True
ae,AEENWK,float64,4056,74.72,1372,64,False
ae,AEENWKF,object,5284,97.35,144,2,False
ae,AEOUT,object,1136,20.93,4292,8,False
ae,AEPATT,object,1134,20.89,4294,4,False
ae,AEREFID,object,1134,20.89,4294,238,False
ae,AEREL,object,1136,20.93,4292,3,True
ae,AESCONG,object,5428,100.0,0,1,False
ae,AESDISAB,object,5423,99.91,5,2,False
ae,AESDTH,object,5403,99.54,25,2,False
ae,AESEQ,float64,0,0.0,5428,130,True
ae,AESER,object,1137,20.95,4291,3,True
ae,AESHOSP,object,5309,97.81,119,2,False
ae,AESLIFE,object,5424,99.93,4,2,False
ae,AESMIE,object,5413,99.72,15,2,False
ae,AESPID,object,0,0.0,5428,204,False
ae,AESTWK,float64,26,0.48,5402,253,False
ae,AESTWKF,object,4225,77.84,1203,3,False
ae,AETERM,object,0,0.0,5428,1408,True
ae,AETOXGR,object,11,0.2,5417,6,False
ae,DOMAIN,object,0,0.0,5428,1,True
ae,STUDYID,object,0,0.0,5428,1,True
ae,SUBJID,object,0,0.0,5428,357,False
ae,USUBJID,object,0,0.0,5428,357,True
ae,VISIT,object,0,0.0,5428,19,False
ae,VISITNUM,float64,0,0.0,5428,19,False
cd,CDCAT,object,0,0.0,3339,1,False
cd,CDDTC,object,3339,100.0,0,1,False
cd,CDORRES,object,84,2.52,3255,715,False
cd,CDSEQ,float64,0,0.0,3339,9,False
cd,CDSTAT,object,3255,97.48,84,2,False
cd,CDSTRESC,object,84,2.52,3255,715,False
cd,CDTEST,object,0,0.0,3339,9,False
cd,CDTESTCD,object,0,0.0,3339,9,False
cd,DOMAIN,object,0,0.0,3339,1,False
cd,STUDYID,object,0,0.0,3339,1,False
cd,SUBJID,object,0,0.0,3339,371,False
cd,USUBJID,object,0,0.0,3339,371,False
