path,format,rows,columns,column_names,unlabelled_columns,inspection,status
.core_engine/core/resources/datasets/ae.xpt,xpt,,37,STUDYID|DOMAIN|USUBJID|AESEQ|AELNKID|AETERM|AELLT|AELLTCD|AEDECOD|AEPTCD|AEHLT|AEHLTCD|AEHLGT|AEHLGTCD|AEBODSYS|AEBDSYCD|AESOC|AESOCCD|AESEV|AESER|AEACN|AEREL|AEOUT|AESCAN|AESCONG|AESDISAB|AESDTH|AESHOSP|AESLIFE|AESOD|EPOCH|AESTDTC|AEENDTC|AESTDY|AEENDY|AEENRTPT|AEENTPT,,metadata-only,READABLE
.core_run/adam/adae.xpt,xpt,,29,STUDYID|USUBJID|TRTA|TRTAN|AESEQ|AEDECOD|AEBODSYS|AEHLT|AESEV|ATOXGR|AESER|AEREL|ASTDT|AENDT|ASTDY|AENDY|AEOUT|AEACN|CQ02NAM|CQ02CD|CQ02SC|AEOCCFL|CIAESEQ|CIAESDT|CIAEEDT|CIAEDUR|TRTEMFL|ADURN|ADURU,,metadata-only,READABLE
.core_run/adam/adcm.xpt,xpt,,15,STUDYID|USUBJID|CMTRT|CMDECOD|CMCAT|CMINDC|CMSTDT|CMENDT|CMSTDY|NACTDT|GCSFFL|GCSFPRFL|NACTFL|PREDNFL|TRTEMFL,,metadata-only,READABLE
.core_run/adam/adex.xpt,xpt,,12,STUDYID|USUBJID|SUBJID|TRT01P|TRT01PN|TRTSDT|PARAMCD|PARAM|AVALC|PARCAT1|AVISIT|AVAL,,metadata-only,READABLE
.core_run/adam/adlb.xpt,xpt,,27,STUDYID|USUBJID|SUBJID|TRT01P|TRTSDT|PARAMCD|PARAM|PARAMN|PARCAT1|ADT|LBDY|AVAL|AVALC|LBNRLO|LBNRHI|LBNRIND|ATOXGR|AVISIT|AVISITN|AWDIST|BASE|BASEC|BTOXGR|CHG|PCHG|ANL01FL|BASEFL,,metadata-only,READABLE
.core_run/adam/adrs.xpt,xpt,,13,STUDYID|USUBJID|SUBJID|TRT01P|TRTSDT|PARAMCD|PARAM|AVALC|ADT|ADY|AVISIT|ANL01FL|AVAL,,metadata-only,READABLE
.core_run/adam/adsl.xpt,xpt,,42,STUDYID|USUBJID|SUBJID|SITEID|AGE|AGEGR1|AGEGR1N|RACE|ETHNIC|SEX|TRT01P|TRT01PN|TRT01A|TRT01AN|RANDDT|TRTSDT|TRTEDT|TRTDURD|ITTFL|SAFFL|PPROTFL|DTHFL|DTHDT|DTHCAUS|LSTALVDT|ECOGBL|ECOGBLIF|MEASDISF|VISCFL|PAINBL|PSABL|PSABLIF|ALPBL|ALPBLIF|ALBBL|ALBBLIF|LDHBL|LDHBLIF|HGBBL|HGBBLIF|DOCPROG|DOCRESP,,metadata-only,READABLE
.core_run/adam/adtte.xpt,xpt,,19,STUDYID|USUBJID|SUBJID|SITEID|TRT01P|TRT01PN|ITTFL|SAFFL|PARAMCD|PARAM|PARCAT1|AVALU|EVNTDESC|CNSDTDSC|ADT|STARTDT|AVAL|CNSR|PARAMN,,metadata-only,READABLE
.core_run/engine/resources/datasets/ae.xpt,xpt,,37,STUDYID|DOMAIN|USUBJID|AESEQ|AELNKID|AETERM|AELLT|AELLTCD|AEDECOD|AEPTCD|AEHLT|AEHLTCD|AEHLGT|AEHLGTCD|AEBODSYS|AEBDSYCD|AESOC|AESOCCD|AESEV|AESER|AEACN|AEREL|AEOUT|AESCAN|AESCONG|AESDISAB|AESDTH|AESHOSP|AESLIFE|AESOD|EPOCH|AESTDTC|AEENDTC|AESTDY|AEENDY|AEENRTPT|AEENTPT,,metadata-only,READABLE
.core_run/engine/tests/resources/CoreIssue1442/test_adam_dataset.xpt,xpt,,34,STUDYID|USUBJID|AGE|AGEU|SEX|TRTSDT|TRTEDT|EOTDT|EOSDT|EOSSTT|RANDFL|SAFFL|FASFL|COMPLFL|TRTP|TRTPN|TRTA|TRTAN|PARAMCD|PARAM|PARCAT|AVAL|AVALU|AVISITN|AVISIT|ADT|ADY|ABLFL|BASE|CHG|R2BASE|PCHG|CRIT1|CRIT1FL,,metadata-only,READABLE
.core_run/engine/tests/resources/CoreIssue295/dm.xpt,xpt,,7,STUDYID|DOMAIN|USUBJID|SUBJID|SITEID|BRTHDTC|SEX,,metadata-only,READABLE
.core_run/engine/tests/resources/report_test_data/test_dataset.xpt,xpt,,17,STUDYID|DOMAIN|USUBJID|SPDEVID|EXSEQ|EXTRT|EXDOSE|EXDOSU|EXDOSFRM|EXDOSFRQ|EXROUTE|EXLOT|EPOCH|EXSTDTC|EXENDTC|EXSTDY|EXENDY,,metadata-only,READABLE
.core_run/engine/tests/resources/test_adam_dataset.xpt,xpt,,34,STUDYID|USUBJID|AGE|AGEU|SEX|TRTSDT|TRTEDT|EOTDT|EOSDT|EOSSTT|RANDFL|SAFFL|FASFL|COMPLFL|TRTP|TRTPN|TRTA|TRTAN|PARAMCD|PARAM|PARCAT|AVAL|AVALU|AVISITN|AVISIT|ADT|ADY|ABLFL|BASE|CHG|R2BASE|PCHG|CRIT1|CRIT1FL,,metadata-only,READABLE
.core_run/engine/tests/resources/test_dataset.xpt,xpt,,17,STUDYID|DOMAIN|USUBJID|SPDEVID|EXSEQ|EXTRT|EXDOSE|EXDOSU|EXDOSFRM|EXDOSFRQ|EXROUTE|EXLOT|EPOCH|EXSTDTC|EXENDTC|EXSTDY|EXENDY,,metadata-only,READABLE
.core_run/engine/tests/resources/test_dataset_sas_v8.xpt,xpt,,37,STUDYID|DOMAIN|USUBJID|AESEQ|AELNKID|AETERM|AELLT|AELLTCD|AEDECOD|AEPTCD|AEHLT|AEHLTCD|AEHLGT|AEHLGTCD|AEBODSYS|AEBDSYCD|AESOC|AESOCCD|AESEV|AESER|AEACN|AEREL|AEOUT|AESCAN|AESCONG|AESDISAB|AESDTH|AESHOSP|AESLIFE|AESOD|EPOCH|AESTDTC|AEENDTC|AESTDY|AEENDY|AEENRTPT|AEENTPT,,metadata-only,READABLE
.core_run/engine/tests/resources/test_empty_dataset.xpt,xpt,,,,,metadata read attempted,UNREADABLE: ReadstatError: Unable to read from file
.core_run/sdtm/ae.xpt,xpt,,29,AESTWKF|AEENWKF|USUBJID|STUDYID|DOMAIN|AESEQ|AESPID|AEREFID|AETERM|AEDECOD|AEBODSYS|AESER|AEACN|AECONTRT|AEREL|AEPATT|AEOUT|AESCONG|AESDISAB|AESDTH|AESHOSP|AESLIFE|AESMIE|AETOXGR|VISITNUM|VISIT|AESTWK|AEENWK|SUBJID,,metadata-only,READABLE
.core_run/sdtm/dm.xpt,xpt,,12,AGEGRP|STUDYID|DOMAIN|USUBJID|SUBJID|RFSTDTC|RFENDTC|AGEU|SEX|RACE|ARM|ARMCD,,metadata-only,READABLE
.core_run/sdtm/ds.xpt,xpt,,14,DSSTWKF|USUBJID|STUDYID|DOMAIN|DSSEQ|DSTERM|DSDECOD|DSCAT|DSSCAT|EPOCH|VISITNUM|VISIT|DSSTWK|SUBJID,,metadata-only,READABLE
.core_run/sdtm/ex.xpt,xpt,,16,STUDYID|DOMAIN|USUBJID|EXSEQ|EXTRT|EXLOT|EXDOSE|EXDOSU|EXDOSFRM|EXROUTE|VISITNUM|VISIT|EXSTDTC|EXSTDY|EXENDTC|SUBJID,,metadata-only,READABLE
.core_run/sdtm/vs.xpt,xpt,,19,STUDYID|DOMAIN|USUBJID|VSSEQ|VSTESTCD|VSTEST|VSORRES|VSORRESU|VSSTRESC|VSSTRESN|VSSTRESU|VSMETHOD|VSBLFL|VSDRVFL|VISITNUM|VISIT|VSDTC|VSDY|SUBJID,,metadata-only,READABLE
.core_run/sdtm34/ae.xpt,xpt,,26,STUDYID|DOMAIN|USUBJID|AESEQ|AEREFID|AESPID|AETERM|AEDECOD|AEBODSYS|AESOC|AESER|AEACN|AEREL|AEPATT|AEOUT|AESCONG|AESDISAB|AESDTH|AESHOSP|AESLIFE|AESMIE|AECONTRT|AETOXGR|VISITNUM|VISIT|EPOCH,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
.core_run/sdtm34/dm.xpt,xpt,,14,STUDYID|DOMAIN|USUBJID|SUBJID|RFSTDTC|RFENDTC|AGE|AGEU|SEX|RACE|ARMCD|ARM|ACTARMCD|ACTARM,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
.core_run/sdtm34/ds.xpt,xpt,,11,STUDYID|DOMAIN|USUBJID|DSSEQ|DSTERM|DSDECOD|DSCAT|DSSCAT|VISITNUM|VISIT|EPOCH,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
.core_run/sdtm34/ex.xpt,xpt,,17,STUDYID|DOMAIN|USUBJID|EXSEQ|EXTRT|EXDOSE|EXDOSU|EXDOSFRM|EXROUTE|EXLOT|VISITNUM|VISIT|EPOCH|EXSTDTC|EXENDTC|EXSTDY|EXENDY,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
.core_run/sdtm34/suppae.xpt,xpt,,10,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
.core_run/sdtm34/suppdm.xpt,xpt,,10,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
.core_run/sdtm34/suppds.xpt,xpt,,10,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
