standard,dataset,define_present,data_present,define_variables,data_variables,missing_from_data,not_in_define,order_match,unlabelled_data_variables,derived_variables_without_method
ADaM,ADAE,YES,YES,29,29,,,NO,,ATOXGR
ADaM,ADCM,YES,YES,15,15,,,NO,ASTDT|AENDT|ASTDY,ASTDT|AENDT|ASTDY
ADaM,ADEX,YES,YES,14,14,,,YES,PARAMN|AVISITN,AVAL|AVALC|PARAMN|AVISITN
ADaM,ADLB,YES,YES,27,27,,,NO,,AVAL|AVALC|ATOXGR|BASE|BASEC|CHG|PCHG|BASEFL|ADT
ADaM,ADRS,YES,YES,13,13,,,YES,,AVALC|AVAL
ADaM,ADSL,YES,YES,42,42,,,NO,,DTHDT|LSTALVDT|ECOGBLIF|PSABLIF|ALPBLIF|HGBBLIF|ALBBLIF|LDHBLIF
ADaM,ADTTE,YES,YES,19,19,,,NO,,ITTFL|SAFFL|PARAMN|PARCAT1|AVALU
ADaM,CLINSITE,NO,YES,0,10,,STUDYID|SITEID|INVNAM|N_RAND|N_SAF|N_ITT|N_PPROT|N_DEATH|N_SAE|N_TEAE,NO,,
SDTM,AE,YES,YES,26,29,AESOC|EPOCH,AESTWKF|AEENWKF|AESTWK|AEENWK|SUBJID,NO,,AESOC|EPOCH
SDTM,CD,NO,YES,0,14,,STUDYID|DOMAIN|USUBJID|CDSEQ|CDTESTCD|CDTEST|CDCAT|CDORRES|CDSTRESC|CDSTAT|VISITNUM|VISIT|CDDTC|SUBJID,NO,,
SDTM,CM,YES,YES,28,18,CMATCL1|CMATCL2|CMATCSEL|CMONGB|CMONGO|CMLOC|CMENDRCM|CMRLTL|CMRSON|CMPRGDTC,,NO,,CMSTDY|CMENDY
SDTM,CX,NO,YES,0,21,,STUDYID|DOMAIN|USUBJID|CXSEQ|CXTESTCD|CXTEST|CXCAT|CXORRES|CXORRESU|CXORNRLO|CXSTRESC|CXSTRESN|CXSTRESU|CXSTNRLO|CXSTAT|CXMETHOD|CXBLFL|VISITNUM|VISIT|CXDTC|SUBJID,NO,,
SDTM,DM,YES,YES,14,12,AGE|ACTARMCD|ACTARM,AGEGRP,NO,,RFSTDTC|RFENDTC|AGE
SDTM,DS,YES,YES,11,14,,DSSTWKF|DSSTWK|SUBJID,NO,,EPOCH
SDTM,EG,NO,YES,0,15,,STUDYID|DOMAIN|USUBJID|EGSEQ|EGTESTCD|EGTEST|EGORRES|EGSTRESC|EGBLFL|EGEVAL|VISITNUM|VISIT|EGDTC|EGDY|SUBJID,NO,,
SDTM,EX,YES,YES,17,16,EPOCH|EXENDY,SUBJID,NO,,EPOCH|EXSTDY|EXENDY
SDTM,IE,NO,YES,0,13,,STUDYID|DOMAIN|USUBJID|IESEQ|IESPID|IETESTCD|IETEST|IECAT|IEORRES|IESTRESC|VISITNUM|VISIT|SUBJID,NO,,
SDTM,LB,YES,YES,28,27,LBOVISIT,,NO,,LBSTRESN|LBSTRESU|LBBLFL|LBDY
SDTM,LS,YES,YES,22,21,LSSLOC,,NO,,LSBLFL
