"path","object_class","rows","columns","column_names","inspection","status"
"01_raw_source/cbzp_reconstructed/adae_cbzp.rds","tbl_df|tbl|data.frame",1393,17,"STUDYID|USUBJID|AEDECOD|AEBODSYS|AESEV|ATOXGR|AESER|AEREL|ASTDY|TRTEMFL|TRT01P|TRTSDT|ASTDT|AENDT|AENDY|CIAESEQ|AEACN","Full deserialization and structure inspection; values not reproduced","READABLE"
"01_raw_source/cbzp_reconstructed/adex_cbzp.rds","data.frame",1134,12,"STUDYID|USUBJID|SUBJID|TRT01P|TRT01PN|TRTSDT|PARAMCD|PARAM|PARCAT1|AVAL|AVALC|AVISIT","Full deserialization and structure inspection; values not reproduced","READABLE"
"01_raw_source/cbzp_reconstructed/adlb_cbzp.rds","data.frame",2975,15,"STUDYID|USUBJID|SUBJID|TRT01P|TRTSDT|PARAMCD|PARAM|PARCAT1|AVAL|AVISIT|AVISITN|BASEFL|ANL01FL|ATOXGR|PCHG","Full deserialization and structure inspection; values not reproduced","READABLE"
"01_raw_source/cbzp_reconstructed/adrs_cbzp.rds","data.frame",3818,13,"STUDYID|USUBJID|SUBJID|TRT01P|TRTSDT|PARAMCD|PARAM|AVALC|ADT|ADY|AVISIT|ANL01FL|AVAL","Full deserialization and structure inspection; values not reproduced","READABLE"
"01_raw_source/cbzp_reconstructed/adsl_cbzp.rds","data.frame",378,37,"STUDYID|USUBJID|SUBJID|SITEID|AGE|AGEGR1|AGEGR1N|RACE|ETHNIC|SEX|TRT01P|TRT01PN|TRT01A|TRT01AN|RANDDT|TRTSDT|TRTEDT|TRTDURD|ITTFL|SAFFL|PPROTFL|DTHFL|DTHDT|DTHCAUS|LSTALVDT|ECOGBL|MEASDISF|VISCFL|PAINBL|PSABL|ALPBL|ALBBL|LDHBL|HGBBL|DOCPROG|DOCRESP|GCSFPRFL","Full deserialization and structure inspection; values not reproduced","READABLE"
"01_raw_source/cbzp_reconstructed/adtte_cbzp.rds","data.frame",1691,14,"STUDYID|USUBJID|SUBJID|SITEID|TRT01P|TRT01PN|PARAMCD|PARAM|STARTDT|ADT|CNSR|EVNTDESC|CNSDTDSC|AVAL","Full deserialization and structure inspection; values not reproduced","READABLE"
"01_raw_source/real_sdtm/staging/ae.rds","tbl_df|tbl|data.frame",5428,41,"AESTWKF|AEENWKF|USUBJID|STUDYID|DOMAIN|AESEQ|AESPID|AEREFID|AETERM|AEDECOD|AEBODSYS|AESER|AEACN|AECONTRT|AEREL|AEPATT|AEOUT|AESCONG|AESDISAB|AESDTH|AESHOSP|AESLIFE|AESMIE|AETOXGR|VISITNUM|VISIT|AESTWK|AEENWK|SUBJID|AECOLGR|AECOLGRN|AEDICTVS|AEHLGT|AEHLT|AELLT|AEOVISIT|AETOXGRN|AETRTEM|AEREFER|AEDTHDTC|AESEQUCM","Full deserialization and structure inspection; values not reproduced","READABLE"
"01_raw_source/real_sdtm/staging/cm.rds","tbl_df|tbl|data.frame",24534,28,"STUDYID|DOMAIN|USUBJID|CMSEQ|CMTRT|CMDECOD|CMCAT|CMINDC|CMDOSE|CMDOSU|CMDOSRGM|VISITNUM|VISIT|CMSTDTC|CMSTDY|CMENDTC|CMENDY|SUBJID|CMATCL1|CMATCL2|CMATCSEL|CMONGB|CMONGO|CMLOC|CMENDRCM|CMRLTL|CMRSON|CMPRGDTC","Full deserialization and structure inspection; values not reproduced","READABLE"
"01_raw_source/real_sdtm/staging/dm.rds","tbl_df|tbl|data.frame",371,19,"AGEGRP|STUDYID|DOMAIN|USUBJID|SUBJID|RFSTDTC|RFENDTC|AGEU|SEX|RACE|ARM|ARMCD|ARM2|ARMA|ARMCD2|BSABL|ITT|PPROT|SAFETY","Full deserialization and structure inspection; values not reproduced","READABLE"
"01_raw_source/real_sdtm/staging/ds.rds","tbl_df|tbl|data.frame",2842,15,"DSSTWKF|USUBJID|STUDYID|DOMAIN|DSSEQ|DSTERM|DSDECOD|DSCAT|DSSCAT|EPOCH|VISITNUM|VISIT|DSSTWK|SUBJID|DSPROG","Full deserialization and structure inspection; values not reproduced","READABLE"
"01_raw_source/real_sdtm/staging/ex.rds","tbl_df|tbl|data.frame",3485,28,"STUDYID|DOMAIN|USUBJID|EXSEQ|EXTRT|EXLOT|EXDOSE|EXDOSU|EXDOSFRM|EXROUTE|VISITNUM|VISIT|EXSTDTC|EXSTDY|EXENDTC|SUBJID|EXPDOSE|EXPDOSU|EXCUMD|EXCUMD2|EXDOSE2|EXPDOSE2|EXTINT|EXTRINT|EXDSREA|EXDELAY|EXDSRCM|ENDTCOL","Full deserialization and structure inspection; values not reproduced","READABLE"
