dataset,variable,current_predecessor,expected_predecessor,current_method,expected_method,current_origin,expected_origin,status,method_status,origin_status
ADSL,STUDYID,Protocol identifier from config/study_config.yaml and SDTM study domain records.,Protocol identifier from config/study_config.yaml and SDTM study domain records.,,,Protocol,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,USUBJID,SDTM.DM.USUBJID.,SDTM.DM.USUBJID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,SUBJID,SDTM.DM.SUBJID.,SDTM.DM.SUBJID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,SITEID,SDTM.DM.SITEID.,SDTM.DM.SITEID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,AGE,SDTM.DM.AGE.,SDTM.DM.AGE.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,AGEGR1,Derived age group from SDTM.DM.AGE and protocol age group definitions.,Derived age group from SDTM.DM.AGE and protocol age group definitions.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,AGEGR1N,Numeric age group from AGEGR1.,Numeric age group from AGEGR1.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,RACE,SDTM.DM.RACE.,SDTM.DM.RACE.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,ETHNIC,SDTM.DM.ETHNIC.,SDTM.DM.ETHNIC.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,SEX,SDTM.DM.SEX.,SDTM.DM.SEX.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,TRT01P,Randomized/planned treatment assignment from SDTM.DM.ARM and config/study_config.yaml treatment map.,Randomized/planned treatment assignment from SDTM.DM.ARM and config/study_config.yaml treatment map.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,TRT01PN,Numeric planned treatment assignment from config/study_config.yaml treatment map.,Numeric planned treatment assignment from config/study_config.yaml treatment map.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,TRT01A,Actual treatment assignment from first non-missing SDTM.EX exposure record and config/study_config.yaml treatment map.,Actual treatment assignment from first non-missing SDTM.EX exposure record and config/study_config.yaml treatment map.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
