id,endpoint,class,family,assumption_basis,seed,requested,completed,failed,failure_rate,rejections,estimate,mcse,wilson_95_lower,wilson_95_upper,control_event_proportion,experimental_event_proportion,control_censor_proportion,experimental_censor_proportion,execution_status,precision_status,design_status,scenario_sha256
OS_NULL_REFERENCE,OS,KEY_NULL,NULL_REFERENCE,ASSUMED_REFERENCE,2026081401,100000,100000,0,0.0,2525,0.02525,0.0004961092369629898,0.024295728061159816,0.026240745189237788,0.6031458885941644,0.6031186772486773,0.39685411140583554,0.39688132275132276,PASS,PASS,PASS,7adc14f9810532d962c09ca7dbff26c177370ed9eed7e45ee1a5a23042d450a7
PFS_NULL_HIGH_DROPOUT,PFS,KEY_NULL_OPERATIONAL_STRESS,NULL_HIGH_DROPOUT,ASSUMED_STRESS,2026081402,100000,100000,0,0.0,2504,0.02504,0.000494095116349069,0.02408968280708746,0.026026806576817427,0.9534861538461539,0.9534630423280424,0.046513846153846156,0.046536957671957674,PASS,PASS,PASS,8107f34d985c617abd9c505588fb5735f7f5602216420ec9e083024101c6183e
OS_PUBLISHED_EFFECT,OS,ALTERNATIVE,PUBLISHED_EFFECT,PUBLIC_AGGREGATE,2026081403,25000,25000,0,0.0,23688,0.94752,0.001410331161110751,0.9446864044339995,0.9502160863233293,0.6028867904509284,0.47972190476190474,0.39711320954907164,0.5202780952380952,PASS,PASS,NOT_PREDEFINED,4aa624a9495fc3c5ea0f3fd41650e539618761281efcb710c71b13d68bd2f615
PFS_PUBLISHED_EFFECT,PFS,ALTERNATIVE,PUBLISHED_EFFECT,PUBLIC_AGGREGATE,2026081404,25000,25000,0,0.0,24581,0.98324,0.0008118892141172956,0.9815728750494409,0.9847586400416647,0.9858184615384615,0.9789332275132275,0.01418153846153846,0.021066772486772488,PASS,PASS,NOT_PREDEFINED,abf18d3af342404d347c4f3efc140af77f51b988d4c2efdc13d31e8417b9edf5
OS_MEDIAN_CALIBRATED,OS,ALTERNATIVE,MEDIAN_CALIBRATED,PUBLIC_AGGREGATE_CALIBRATION,2026081405,25000,25000,0,0.0,10919,0.43676,0.00313688190660726,0.430622004927946,0.4429174267946733,0.6031206366047746,0.542044126984127,0.39687936339522545,0.45795587301587304,PASS,PASS,NOT_PREDEFINED,0b9c86fe0ad86e93cd56d2084cf4b5d31e775668efcae0aed188366e06bfaf70
PFS_MEDIAN_CALIBRATED,PFS,ALTERNATIVE,MEDIAN_CALIBRATED,PUBLIC_AGGREGATE_CALIBRATION,2026081406,25000,25000,0,0.0,25000,1.0,0.0,0.9998463652544344,1.0,0.9857355968169761,0.9582805291005291,0.014264403183023872,0.0417194708994709,PASS,PASS,NOT_PREDEFINED,61fc45f12ce1db4b691c82d8252f5263cc8ed225a5d2d482c9e985e1b5017028
OS_DELAYED_NON_PH,OS,ALTERNATIVE_STRESS,DELAYED_NON_PH,ASSUMED_STRESS,2026081407,25000,25000,0,0.0,20166,0.80664,0.002497774292445176,0.80169749117647,0.8114882877067695,0.6033225464190981,0.49481291005291006,0.39667745358090184,0.5051870899470899,PASS,PASS,NOT_PREDEFINED,8f4757706e1587997cc40bc36ecc5e7fe1a45a42744fe38c8be9a0eb8a2a10cb
PFS_DELAYED_NON_PH,PFS,ALTERNATIVE_STRESS,DELAYED_NON_PH,ASSUMED_STRESS,2026081408,25000,25000,0,0.0,24564,0.98256,0.0008279093283687535,0.9808616213200491,0.9841101027143105,0.9857807957559682,0.9751171428571429,0.01421920424403183,0.024882857142857144,PASS,PASS,NOT_PREDEFINED,b857a9a989abae48810e5718eca46519c3bccdbba7929fa74a68bfce23b31727
OS_WANING_AFTER_DISCONTINUATION,OS,ALTERNATIVE_STRESS,WANING_DISCONTINUATION,ASSUMED_STRESS,2026081409,25000,25000,0,0.0,19647,0.78588,0.0025943987789081306,0.7807513516611335,0.7909208061367419,0.6030739522546419,0.5130377777777778,0.3969260477453581,0.48696222222222224,PASS,PASS,NOT_PREDEFINED,b24e9201196c430248db4ed62b7dd0b078d2afdd4f91a77682802c47c3e30374
PFS_WANING_AFTER_DISCONTINUATION,PFS,ALTERNATIVE_STRESS,WANING_DISCONTINUATION,ASSUMED_STRESS,2026081410,25000,25000,0,0.0,24036,0.96144,0.0012177541032573043,0.9589814832385567,0.9637567303274556,0.9857735809018567,0.9801565079365079,0.014226419098143235,0.019843492063492063,PASS,PASS,NOT_PREDEFINED,ee4aae8c9cdb8db3d8898e754b3dcd55f4f1fd7f5646a0808b95cef13ccd33fd
