domain,file,file_size_bytes,records,variables,usubjid_n,studyid_n,key,duplicate_key_records,date_vars_n,day_vars_n,week_precision_vars_n,expected_present_n,expected_missing_n,expected_missing
ae,01_source_data/real_sdtm/ae.sas7bdat,4988928,5428,29,357,1,USUBJID+AESEQ,0,0,0,4,9,0,
cd,01_source_data/real_sdtm/cd.sas7bdat,1187840,3339,14,371,1,USUBJID+CDSEQ,0,1,0,0,0,0,
cm,01_source_data/real_sdtm/cm.sas7bdat,25174016,24534,18,371,1,USUBJID+CMSEQ,0,2,2,0,8,0,
cx,01_source_data/real_sdtm/cx.sas7bdat,1056768,2516,21,371,1,USUBJID+CXSEQ,0,1,0,0,0,0,
dm,01_source_data/real_sdtm/dm.sas7bdat,172032,371,12,371,1,USUBJID,0,2,0,0,11,0,
ds,01_source_data/real_sdtm/ds.sas7bdat,1900544,2842,14,371,1,USUBJID+DSSEQ,0,0,0,2,8,0,
eg,01_source_data/real_sdtm/eg.sas7bdat,303104,558,15,352,1,USUBJID+EGSEQ,0,1,1,0,0,0,
ex,01_source_data/real_sdtm/ex.sas7bdat,1646592,3485,16,371,1,USUBJID+EXSEQ,0,2,1,0,9,0,
ie,01_source_data/real_sdtm/ie.sas7bdat,40960,42,13,38,1,USUBJID+IESEQ,0,0,0,0,0,0,
lb,01_source_data/real_sdtm/lb.sas7bdat,41836544,80788,27,371,1,USUBJID+LBSEQ,0,1,1,0,9,0,
ls,01_source_data/real_sdtm/ls.sas7bdat,3153920,5774,21,371,1,USUBJID+LSSEQ,0,1,0,0,3,0,
mh,01_source_data/real_sdtm/mh.sas7bdat,1671168,2292,13,346,1,USUBJID+MHSEQ,0,1,0,0,0,0,
pe,01_source_data/real_sdtm/pe.sas7bdat,1810432,3614,17,371,1,USUBJID+PESEQ,0,1,1,0,0,0,
pn,01_source_data/real_sdtm/pn.sas7bdat,11313152,26982,18,358,1,USUBJID+PNSEQ,0,1,0,0,3,0,
pr,01_source_data/real_sdtm/pr.sas7bdat,90112,151,10,65,1,USUBJID+PRSEQ,0,1,0,0,0,0,
sc,01_source_data/real_sdtm/sc.sas7bdat,24576,11,11,11,1,USUBJID+SCSEQ,0,1,1,0,0,0,
suppae,01_source_data/real_sdtm/suppae.sas7bdat,21012480,53153,11,357,1,USUBJID+RDOMAIN+QNAM+IDVARVAL,0,0,0,0,0,0,
suppcm,01_source_data/real_sdtm/suppcm.sas7bdat,41787392,108333,11,371,1,USUBJID+RDOMAIN+QNAM+IDVARVAL,0,0,0,0,0,0,
suppdm,01_source_data/real_sdtm/suppdm.sas7bdat,1482752,2597,11,371,1,USUBJID+RDOMAIN+QNAM+IDVARVAL,0,0,0,0,0,0,
suppds,01_source_data/real_sdtm/suppds.sas7bdat,434176,1083,11,338,1,USUBJID+RDOMAIN+QNAM+IDVARVAL,0,0,0,0,0,0,
suppeg,01_source_data/real_sdtm/suppeg.sas7bdat,106496,164,11,118,1,USUBJID+RDOMAIN+QNAM+IDVARVAL,0,0,0,0,0,0,
suppex,01_source_data/real_sdtm/suppex.sas7bdat,7020544,18137,11,371,1,USUBJID+RDOMAIN+QNAM+IDVARVAL,0,0,0,0,0,0,
suppie,01_source_data/real_sdtm/suppie.sas7bdat,40960,21,11,21,1,USUBJID+RDOMAIN+QNAM+IDVARVAL,0,0,0,0,0,0,
supplb,01_source_data/real_sdtm/supplb.sas7bdat,31170560,80788,11,371,1,USUBJID+RDOMAIN+QNAM+IDVARVAL,0,0,0,0,0,0,
suppls,01_source_data/real_sdtm/suppls.sas7bdat,2203648,5610,11,367,1,USUBJID+RDOMAIN+QNAM+IDVARVAL,0,0,0,0,0,0,
suppmh,01_source_data/real_sdtm/suppmh.sas7bdat,794624,2025,11,326,1,USUBJID+RDOMAIN+QNAM+IDVARVAL,0,0,0,0,0,0,
supppe,01_source_data/real_sdtm/supppe.sas7bdat,466944,1134,11,368,1,USUBJID+RDOMAIN+QNAM+IDVARVAL,0,0,0,0,0,0,
supppr,01_source_data/real_sdtm/supppr.sas7bdat,73728,151,11,65,1,USUBJID+RDOMAIN+QNAM+IDVARVAL,0,0,0,0,0,0,
sv,01_source_data/real_sdtm/sv.sas7bdat,614400,3930,9,371,1,USUBJID+VISITNUM,0,2,1,0,0,0,
te,01_source_data/real_sdtm/te.sas7bdat,49152,4,6,,1,STUDYID+ETCD,0,0,0,0,0,0,
ti,01_source_data/real_sdtm/ti.sas7bdat,32768,48,5,,1,STUDYID+IETESTCD,0,0,0,0,0,0,
ts,01_source_data/real_sdtm/ts.sas7bdat,32768,16,6,,1,STUDYID+TSPARMCD,0,0,0,0,0,0,
tv,01_source_data/real_sdtm/tv.sas7bdat,57344,24,7,,1,STUDYID+ARMCD+VISITNUM,0,0,0,0,0,0,
vs,01_source_data/real_sdtm/vs.sas7bdat,6103040,18388,19,371,1,USUBJID+VSSEQ,0,1,1,0,9,0,
