output_id,title,class,primary_file,primary_present,primary_size_bytes,primary_sha256,sas_companion_file,sas_companion_present,sas_companion_sha256,sas_companion_mtime_utc,sas_companion_generation_scope,sas_companion_freshness,sas_companion_current_with_primary,sas_companion_current_with_pipeline_health,sap_ref,adam_inputs,generator,arm_result_display,qc_evidence,reviewer_note
F-01-1,Analysis Population and Mortality Overview,figure,05_outputs/tfl/output/figures/F-01-1_CONSORT_Disposition.png,True,255424,bb6be311604e1ebf5f4c98c4fd6abeeb6177d149b7ba84d323f8442c35631b29,,,,,n/a,n/a,,,SAP v4.0 section 3,ADSL,05_outputs/tfl/tfl_generation.R population-flow builder,out of ARM scope (flow diagram),ADSL reconciliation; TFL generation gate; output hash,Comparative CbzP content is synthetic/reconstructed demonstration where applicable; see ADRG/README.
F-11-1,Kaplan-Meier Overall Survival,figure,05_outputs/tfl/output/figures/F-11-1_KM_OS.png,True,308939,18d41117d0187692c5d81a4c892794509cb75533a07f96d6c61ea5cd2b7e212e,05_outputs/tfl/output/figures/sas/F-11-1_KM_OS_SAS.png,True,7406c29293a13c35679a08b6bfc964aba0d61a73a76b8384e49705f4664d6d20,2026-07-05T13:34:06.208066+00:00,out_of_dag_capability_demo,stale_or_historical,False,False,SAP v4.0 section 9,"ADTTE (OS), ADSL",05_outputs/tfl/tfl_generation.R compute_tte_stats() / KM plot,RD.EFFICACY.SURVIVAL,ADTTE reconciliation; numerical results reconciliation; R primary output hash; SAS companion is out-of-DAG inventory only,Comparative CbzP content is synthetic/reconstructed demonstration where applicable; see ADRG/README.
F-11-2,Kaplan-Meier Progression-Free Survival,figure,05_outputs/tfl/output/figures/F-11-2_KM_PFS.png,True,295848,a0c8bf8ec86ee5101af604a633376bdae5698d69e5b94f3c9cf2939675f4a3ae,05_outputs/tfl/output/figures/sas/F-11-2_KM_PFS_SAS.png,True,2f848c65eb63aab245854c35e311096108af3ebda9fc19bb0d138c02f47bfe8b,2026-07-05T13:34:09.839750+00:00,out_of_dag_capability_demo,stale_or_historical,False,False,SAP v4.0 section 10.1,"ADTTE (PFS), ADSL",05_outputs/tfl/tfl_generation.R compute_tte_stats() / KM plot,RD.EFFICACY.SURVIVAL,ADTTE reconciliation; numerical results reconciliation; R primary output hash; SAS companion is out-of-DAG inventory only,Comparative CbzP content is synthetic/reconstructed demonstration where applicable; see ADRG/README.
F-12-1,Overall Survival Subgroup Forest Plot,figure,05_outputs/tfl/output/figures/F-12-1_Subgroup_Forest.png,True,418090,7a61cc2fcda86bcb1787f045597973d436972df1cc6ec3ae1a7ca0662682d0ab,05_outputs/tfl/output/figures/sas/F-12-1_Subgroup_Forest_SAS.png,True,bf1638c789be3a67eb792ee8c6fbab62244778c887eadd2c9c3d404fb303df1e,2026-07-05T13:34:13.463488+00:00,out_of_dag_capability_demo,stale_or_historical,False,False,SAP v4.0 section 8.2,"ADTTE (OS), ADSL covariates",05_outputs/tfl/tfl_generation.R subgroup Cox model,RD.EFFICACY.SUBGROUP,ADTTE/ADSL reconciliation; forest HR reconciliation; R primary output hash; SAS companion is out-of-DAG inventory only,Comparative CbzP content is synthetic/reconstructed demonstration where applicable; see ADRG/README.
F-13-1,PSA Best Percentage Change from Baseline Waterfall,figure,05_outputs/tfl/output/figures/F-13-1_PSA_Waterfall.png,True,274712,ba1a25947a9db79dd714d285237ce1f3f7befac412b1c7e9cf6545f3f1c1a79c,05_outputs/tfl/output/figures/sas/F-13-1_PSA_Waterfall_SAS.png,True,b5d6404b20d52e22c914f16528f1b821fe76451131bcf3470ab73b009714a189,2026-07-05T13:34:17.309513+00:00,out_of_dag_capability_demo,stale_or_historical,False,False,SAP v4.0 section 5.2,"ADLB (PSA), ADSL",05_outputs/tfl/tfl_generation.R PSA best-change waterfall,RD.EFFICACY.PSA.RESPONSE,ADLB/ADSL reconciliation; R primary output hash; SAS companion is out-of-DAG inventory only,Comparative CbzP content is synthetic/reconstructed demonstration where applicable; see ADRG/README.
F-14-1,Treatment Exposure Duration Swimmer Plot,figure,05_outputs/tfl/output/figures/F-14-1_Swimmer_Plot.png,True,268297,0a4b230c0cc57b8f3762c1f8e5aaf8140779a525459b020885420ec1d24146b6,05_outputs/tfl/output/figures/sas/F-14-1_Swimmer_Plot_SAS.png,True,b45ab94962c6ada32fdf6c9c42d313d3d88840ec720965ec748f5026d18bee3b,2026-07-05T13:34:21.047489+00:00,out_of_dag_capability_demo,stale_or_historical,False,False,SAP v4.0 section 7.8,"ADEX, ADSL",05_outputs/tfl/tfl_generation.R exposure swimmer plot,RD.SAFETY.EXPOSURE,ADEX/ADSL reconciliation; R primary output hash; SAS companion is out-of-DAG inventory only,Comparative CbzP content is synthetic/reconstructed demonstration where applicable; see ADRG/README.
F-17-1,Project Optimus Exposure-Response Scatter,figure,05_outputs/tfl/output/figures/F-17-1_Optimus_Scatter.png,True,647486,d579a8d94aff6ec9829c172f15d6f15a7b36327569ff00fcd9d0dcc8510978cc,05_outputs/tfl/output/figures/sas/F-17-1_Optimus_Scatter_SAS.png,True,9dd9956ac9512af691e688767a8dae4bf056c5151b6ec9accaa3cbd1c0db1320,2026-07-05T13:34:24.574427+00:00,out_of_dag_capability_demo,stale_or_historical,False,False,SAP v4.0 section 10,"ADEX (RDI), ADLB (ANC nadir)",05_outputs/tfl/tfl_generation.R LOESS exposure-response scatter,RD.OPTIMUS.ER,ADEX/ADLB reconciliation; R primary output hash; SAS companion is out-of-DAG inventory only,Comparative CbzP content is synthetic/reconstructed demonstration where applicable; see ADRG/README.
T-11-6,KM Analysis of Time to PSA Progression,table,05_outputs/tfl/output/tables/T-11-Efficacy_Tables.txt,True,3023,604d9d447b1ec148c19d3266ce3e36b8afeb70a04135f8788cf5c826e70c252c,,,,,n/a,n/a,,,SAP v4.0 sections 4.3-5.3,ADTTE,05_outputs/tfl/tfl_generation.R secondary efficacy table block,RD.EFFICACY.SECONDARY,ADTTE reconciliation; TFL generation gate; output hash,Comparative CbzP content is synthetic/reconstructed demonstration where applicable; see ADRG/README.
T-11-7,KM Analysis of Time to Tumor Progression,table,05_outputs/tfl/output/tables/T-11-Efficacy_Tables.txt,True,3023,604d9d447b1ec148c19d3266ce3e36b8afeb70a04135f8788cf5c826e70c252c,,,,,n/a,n/a,,,SAP v4.0 sections 4.3-5.3,"ADTTE, ADSL",05_outputs/tfl/tfl_generation.R secondary efficacy table block,RD.EFFICACY.SECONDARY,ADTTE/ADSL reconciliation; TFL generation gate; output hash,Comparative CbzP content is synthetic/reconstructed demonstration where applicable; see ADRG/README.
T-11-8,Best Clinical Response Endpoints,table,05_outputs/tfl/output/tables/T-11-Efficacy_Tables.txt,True,3023,604d9d447b1ec148c19d3266ce3e36b8afeb70a04135f8788cf5c826e70c252c,,,,,n/a,n/a,,,SAP v4.0 sections 4.3-5.3,"ADRS, ADLB, ADSL",05_outputs/tfl/tfl_generation.R response summary block,RD.EFFICACY.SECONDARY,ADRS/ADLB/ADSL reconciliation; TFL generation gate; output hash,Comparative CbzP content is synthetic/reconstructed demonstration where applicable; see ADRG/README.
